,Comments_lem
883,bon voilà c est premiere fois j ecris contre showroomprive com c est pire pire service client incompétent heureusement appels surfacturés depuis aout j ai fait commande d un matelas arrivé défectueux fais donc retour règles l art voila qu on bientôt mois décembre showroomprivé m envoie balader a chaque fois appelle donnant toujours meme réponse allons faire remonter problème car n est occupons remboursements c est monté tellement ça a mal redescendre depuis n en peux plus rappeler demander argent vais jusqu qualifier voleurs c est comme tell mois bientot faire remboursement alors encaissements secondes c est fait bref n ai plus choix monter dossier auprès contentieux ainsi association ufc choisir vu mépris envers leurs client malheureusement chez amazon n ont tous produits moins quand problèmes c est vite réglé contrairement showroomprivé
884,service client inexistant commandes toujours incomplètes annulées erronées site souhaite concurrencer veepee années lumières sérieux qualité service bref commandez plus
885,vraiment plus médiocre mauvais nous crise sanitaire alors toutes entreprises font effort allongeant délais renvoie non pathétique
886,escroquerie n est première fois commande là ba plus d une fois deux produits reçus correspondent produits commandés l occurrence viens commander mitigeurs meuble double vasque m en envoyé différents seule solution proposée renvoyer celui non conforme remboursement impossible parler responsable alors l ai demandé plusieurs reprises honteux fuir
887,l expérience client déplorable disant élu service client l année
888,bonjour commandé iphone reconditionné showroom semaines utilisation plus tard carte mère a lâché apple a déclaré portable comme irréparable donc référé showroom a proposé renvoyer appareil obtenir remboursement demandé rib retour a enregistré chez octobre toujours obtenu remboursement envoyé mail relance avoir réponse je appelés fois personne ligne a envoyée rose disant bon service devais écrire vois plus quoi faire si engager procédure
889,toujours nouvelles commande marque singer ca commence a faire long quelqu un d autre ca cette vente
890,commander ensemble table bar tabouret complète autre manquait barre fixation centrale showroomprivee dit vendeur a stock ni élément individuel remplacer demande remboursement car peux utiliser tout réponde livreur appellera convenir rdv retour colis très mécontente vente appelait must have mobilier
891,satisfaite ere commande s agit grande vitrine design tarif raisonnable délai d envoi respecté
892,après commande retournée problème taille après deux mois d attente toujours sans nouvelle showroom privée remboursement raccrochent quand appelles quand finissent répondre disent remboursé sous h sauf ca fait plusieurs semaines
893,j ai commandé récemment table manger site showroomprivé com l encaissement a lieu dès commande j ai livré bout qq semaines oh surprise pied correspond plateau livré conditionnement déjà mal abimé lorsque transporteurs m ont livré produit manquait évidemment vi fixation s étaient échappé cours chemin toute façon vi ça n aurait matché car pieds n étaient bons j ai appelé showroom commence dire qu il fallait attendre délai jours ouvrés avant l on propose alternative inadmissible quand songe commis l erreur depuis jeudi midi donc jours mange plié deux table basse j ai plateau livré encombre petit séjour lecture tous autres message forum redoute pire plus jamais passerai commande recommande
894,vente jeux enfants annulent commande presque mois plus tard sans aucun motif suite appel comprendre prétexté problème stock alors qu il remis produit vendre autre vente semaine plus tard semblerait plutôt qu il erreur d affichage prix n étant plus rentable fournisseur préféré annuler ca fait deux fois semaine qu il sortent cette excuse annuler commandes certes s agissait cette fois d un petit montant principe reste conseil rien acheter site cadeau lequel comptez vraiment risque devoir trouver plan b dernière minute tant pi désinscris veux plus donner cette plateforme n est concurrence manque
895,spécialiste commandes partiellement reçues annulées si voulez être déçu passez chemin site éviter
896,colis jamais reçu alors comptais dessus l anniversaire fille propose remboursement vente produits nouveau disponible trois fois prix base moyen chez concurrents trichez prix base faisant croire bonne affaire jeux creative après remise alors plupart magasins vendu tous produits marque belle arnaque gen connaissent marque comparent
897,trois commandes effectuées chez show room privé chaque commande article colis alors figure bien listing intérieur colis article remplacé autre marque quelconque remarquer manquements portés chaque fois article marque luxe certain prix manifestement vols commis entrepôts show room privé
898,fidèle cliente depuis plusieurs années chez showroomprivé j ai connu plusieurs mésaventures m ont empêché continuer acheter site envoi mauvais article indisponibilité soudaine l intégralité commande état limite produits commandés cette fois ci dommage bien plus grave c est pourquoi rédige commentaire j ai acheté aspirateur dyson mois d octobre devait m être livré heures après novembre depuis novembre colis a tout bonnement bougé j ai alerté service client a dit mener enquête auprès colissimo devant durer jours donc novembre showroomprivé a bien encaissé depuis mois renvoient d aspirateur remboursent j ai pu lira autre commentaire quelqu un problème c est inadmissible colis cette valeur devraient être livrés prestataires fiables outrée cela pratique tout fait illégale car n est client subir défaillance vendeur vendeur responsable l acheminement bonne livraison produit je redemande donc instamment showroomprivé rembourser immédiatement sorte puisse acheter cet aspirateur ailleurs m en faire parvenir autre immédiatement un conseil n achetez rien valeur site
899,vente induisant consommateur erreur j ai acheté bijou dont description style bague ornée cristaux swarovski or n est indiqué nul part n est marque swarovski n est mentionné aucune autre marque quelle surprise lorsque découvre bijou simple strass prix clairement gonflés faire croire qu on fait bonne affaire a clairement volonté d induire consommateur erreur veux être remboursée numéro commande n ere commande numéro seconde s agit vente
900,ventes nombreuses intéressantes justement c est là hic régulièrement reçoit commandes excuse assez stock colis perdu colis a rencontré problème lors l acheminement bref c est extrême pénible penser faire affaire final rien tout désabonné personnellement
901,livraisons retard produits cassés femme multiplions mauvaises expériences showroom conseil fuyez site
902,bonjour monsieur ayoub j ai bien reçu message d hier voulu vérifier avant tout commentaire si pouvais faire renvoies d article voilà j ai encore commandes bloquées paraît il délais dépassé renvoies rappelle service bloqué compte certifié délais pris compte conseillères recommencé parler jours ouvrés ça va faire imaginez désagréable surprise comment voulez vous pa nerfs j espère avoir rapidement nouvelles monsieur ayoub résolu seulement partie problèmes contente quand compte a débloqué voulu remercié publiquement trustpilot voilà rien comprendre mercin new laviva maille manteau
903,j ai passé commande site showroomprive vente guess mois d octobre j aurais dû recevoir commande or colis a jamais livré point relais retourné entrepôt colis endommagé a donc pu être reexpedie qu il procède remboursement n ai remboursement aujourd hui dit colis a livré disant boîte lettes n ai aucun colis j avais commandé montre guess pense cela doit etre remis contre signature mène investigation obligés d attendre jours mener l enquête jour n ai ni colis ni remboursement c est honte pris otage font qu il veulent argent tombons robot répondent phrase apprises cœur c est scandaleux
904,commandé pâtes a modeler fille fait offre aujourd hui recevez mail comme quoi peuvent honoré livraison contre su envoye autre jouet reviens faite plus chers magasin frais port
905,bonjour déconseille fortement site risque d être déçu effet j ai acheté environ d article doivent être acheminés point relais près chez colis redirigés vers autre point relais sans raison malgré l enseigne dit effet showroomprive informé c est lié indisponibilité point relais or jour allée voir ledit point relais m affirme n avoir refusé aucun colis c est malhonnêteté professionnelle c est décevant d autant plus période confinement l on peut déplacer comme bon semble conseil passer chemin si voulez être déçu
906,suite erreur part bon article reçu a appelé déjà moins d une minute attente c est assez exceptionnel service client conseiller très sympa a cru juste bonne parole honnête bon pu croire il a fait geste commercial très avantageux donc ok a erreur finalement gagnante donc merci sinon tout fait sujet part j apprecie pouvoir annuler meme commandes non encore expediées si tout site pouvaient avoir cette option actualisation janvier j ai fait retours autres commandes traitement ultra rapide remboursements idem
907,passer commande meuble chaussure bien débité compte commande toujours reçu ça fais nuit mois bat réexpédition remboursement renvoie toujours enquête cours peine dire mécontentement trouve ça ça sérieux leurs part voleurs
908,cliente depuis nombreuses annees centaines commandes passees politique client desastreuse commande a ete livree ben lors transporteur indique oui cloture dossier whaouuu ben dis donc comme ca traite client fais affaire principe furieuse dorenavant ferai achats nombreux site apportent leurs client fideles solution quand loupent pensais vu historique client mettrai doute bonne foi complete avis car viens etre contactee showroom suite a cet avis ok possibilite repondre contact directement emetteur message peut dire a quelle adresse contacter histoire perde nouveau d echanges service client merci
909,très mauvaises expériences retard commandes erreurs produits commandés colis abîmés cela fait mois commande showroom privé chaque fois a problème plus assument leurs responsabilités lorsqu mal conseillé leurs conseillés dernier problème date trench commandé va femme fait refus rembourser frais retour alors a clairement problème taille outre énormément produits taillent mal extrême mauvaise qualité donc retour chaque fois bien dernière fois commandais site
910,reviens site suite avis j ai posté concernant fait l on supprimé comptes sans explication a jour après beaucoup communication téléphoniques mail viens confirmer l on a pris considération demande tout rentré l ordre tiens remercier tout particulièrement mr ayoub s est occupé litige j ai communiqué a toujours répondu mail tenu informé suivi merci gentillesse
911,encore moindre problème showroom privé commandes arrivées temp heure sans aucun souci qualité réelle produits paie paypal commande jamais marque connais encore moins meubles revanche gros problème séquestre argent chez veepee
912,jamais problème service client showroom privé fois où j ai rencontré problèmes commandes tout s est toujours bien déroulé
913,alors grosse catastrophe jamais commandé show room privé part faire tourner bourrique tout affaire aujourd hui attente commande date octobre recevoir novembre jour trouve toujours excuse disant colis long parce instant peuvent rembourser patati patata ça commence agacer sais comment faire jamais commandé show room grosse arnaque part dire désolé remercie tout savent dire attendant remerciement laure désolé est ce fiche franchement jamais commandé dessus
914,catastrophe commandé matelas mémoire forme violet plazza cm reçu matelas beige empereur cm bon ya comme problème non maintenant incompétence complète service client vraiment désolé retard cela prend n arrive joindre société matelas c est dure vie quand chez showroom lls arrivent négocier entreprises super deal n ont aucun contact c est bizarre quand a moins qu on fiche peu figure client oui c est ça crois ben verra procédure judiciaire surtout yaoub répondez message c_ _ envoyez tout monde c est trop là
915,paye frais port l achat facturés renvoyer article va plus jamais n achète site
916,commande passée octobre novembre n est encore expédiée vraiment déçue site
917,commande effectuée octobre d un montant aspirateur dyson devait arriver octobre nous novembre personne donne version service client j attends toujours qu un responsables m appelle visiblement l appel arrivera temp commande jamais conseil fuyez commandez chez veepee plus showroom privé
918,commandez surtout incompetent colis perdus aucune communication appels mail toujours reponse differente colis jzmzis arrives relais colis perdus maintenant impossible faire rembourser menvoient mail reexpedition meme relais colis mzis ferme tue a dire livrer a relzis ouvert là silence puis colis perdu jarrive a faire rembourser
919,rien dire mauvais showroomprivé service client j acheté sac victor hugo rien dire non plus sac il exactement comme devait être le problème christian laurier maison héritage victor hugo abaco agit réalité seule marque adresse fournisseur mêmes eshops miteux certains sac ailleurs exactement mêmes a nom marque change faux avis mal rédigés site copiés collés partout bref soi srp grand chose reprocher si manque transparence
920,très très déçue site j enchaîne mésaventures depuis inscription produit renvoyé jamais remboursé disant qu il l ont jamais reçu j avais renvoyé produit sans suivi c est très simple dire qu on a reçu garder l argent soi commande plus payée bons d achat j ai gardé commande trouvé moyen déduire bons d achat seul produit renvoyé a cela s ajoute déduction frais port renvoi bref j ai vraiment l impression plus donner d argent site n importe quel autre lorsque passe commande chez a fuir
921,sav met belle musique raccroche nez commandé robe mal coupé trop petite malgré taille xxl alors fais remboursement robe puisque renvoyé tout suite cerise gâteau accuse avoir portée alors produit défectueux lorsque reçu balade depuis mois août franchement moque client faut signaler agissements auprès association consommateurs récupérer argent
922,très très déçue showroom privé après ère commande reçue article décevants mal taillés j ai commandé housse couette fermeture bouteille reçu fermeture pression ème commande chaussures envoyée d point relais fermé cause confinement reexpedié dépôt galère qu il reexpédié temp raisonnables rembourse uniquement frais port guise dédommagement aucun geste commercial possible coup demande remboursement commandes cours j attendrai d être bien remboursée après désinscrit site plus vite ref commande aldomerci ayoub petit mot j ai donné no commande aucun moment n ai recontactée showroom privé j attends toujours remboursement commande chaussures aldo j ai annuler tout ceci confirme bien pense showroomprivé manque total sérieux professionnalisme
923,viens d effectuer commande chaussure prix j en parle sœur consultent compte sœur s affiche a comparé selon ventes remise différentes pourtant commande quasiment jamais c est honteux sure cela legal
924,étoile déjà beaucoup trop showroom privé escros incompetent baladent droite gauche pendant mois demandé remboursement aspirateur car fonctionnait reçu deux différents deux fonctionnaient cette demande a faite septembre novembre toujours rien appeler vingtaine fois service client a chaque fois dit chose différente dit remboursée jours chaque fois rien arrive jamais vu service aussi déplorable achetez là ba part si aimez être arnaqué
925,délai livraison vraiment trop long commande passée octobre actuellement toujours cours préparation depuis
926,donne étoile parce peux donner moins plus plus déçue showroomprive car a souvent problemes commandes envoient mauvaise taille reçoit article d une autre personne commande retournée transporteur sans qu on puisse savoir pourquoi dès qu il a problème part c est fichu service client téléphone réponses toutes faites reponses mail acabit demander s il lisent mail peut faire renvoyer article retour entrepôt quand commande chez faut croiser doigts tout passe bien c est terminé passe concurrence
927,l article j ai reçu l instant n est tout celui j ai commandé n est parfait état honteux affolant commande sac main luxe monsieur dame faites erreur commandez directement boutique quitte payer plein pot plutôt retrouver article abîmé non conforme
928,passer chemin site a aucune considération clientèle service client africain ineficasse si répéter toujours meme chose conseille plutôt vepee site bien français bien plus efficace respectueux
929,commande envoyée temp record article reçus qualités coût imbattable recommanderai site c est certain très pratique durant cette période confinement fêtes fin d année
930,description complètement erroné j ai acheté plusieurs parures housses couettes normalement forme bouteille écrit retrouve housse fermeture pressions droit ca va être pratique border ba lit
931,honte commandes non livrées an aucune réclamation prise charge ni considération répondent délai mois signaler colis non livré dépassé systématiquement mêmes réponses type volontairement showroomprivé prend compte réclamations rembourse rien après disent trop tard escrocs ailleurs tous forum parlent existe recours ça plein dedans a fuir ayoub voici numéros commande concernées commande n montant euroscommande n montant euroscommande n montant euroscommande n montant euroscommande n montant euroset venez dire mois réclamer plus accès car tout fait rien a traité époque capture écran montrant commandes jamais livrées jamais remise
932,commande plusieurs article vente techwood mediocrite extreme grille pain a tenu plus mois fer disant vapeur vapeur plus coule enfin cerise gateau commande balais nettoyeurs remplissage tous casses a base surtout utilises tous jours presque e balai arriver a resultat n ont meme tenu mois grosse arnaque decommande cette marque a fuir disant garantis c est tellement complique qu on prefere abandonner
933,article insuffisamment décrits conduit erreurs choix frais livraison systématiquement appliqués frais retour facturés double frais livraison non compétitif regard d autres prestataires
934,habitude laisser avis négatifs déception là commandes effectuées semaine dernière reçois colis hier aujourd hui bons article reçus pantalon lieu chaussures pull moche tout celui commandé remboursement avant moins semaines autant dire conseille site achèterai plus
935,met etoile car peux mettre j ai commander produits postquam reçois sous marque connais renvois a frais autant garder plus jamais commandé pourtant j étais cliente fidèle desinstalle l application desuite
936,commandé vêtements lors vente nasa article commande manquant émets doutes quant authenticité produits vêtements mauvaise qualité aucun logo officiel étiquettes arnaque recommande tout
937,éviter contrefaçonsj ai commandé sweat paire chaussures roberto cavalli make in turquie j ai commandé aussi trois sweat nasa très mauvaise qualité a étiquettes nasa
938,publicité mensongère annoncent réduction er achat n est proposée service client incompétent aucun suivi appels balade raccroche nez personnes parlent français a fuir
939,voilà jours calendaires enquête savoir où passés colis concernant commande septembre devaient arriver octobre passés aucun remboursement évidemment viens lira commentaires oups j avais bon d achat fête comme certains l annuler voilà probablement victime d un envoi bloque procédés subtils honte devraient être sanctionnés service répression fraudes finalement coup fil remboursée contre inadmissible prétendre dès lors qu on a numéro colissimo c est colis parti non plateforme logistique numéros attribués étiquettes autocollantes cela veut dire service poste pris charge retours certains site envoient mail étiquettes retour plupart particuliers éditent feuilles a coup mettent l adhésif rendent poste émargement retour concernant poste précise colis toujours préparation poste a jamais non seulement client pris idiot plus poste a bon do
940,shworoums privé voleurs commandé montre eko fils marchait renvoyé montre faire rembourser depuis juin novembre toujours rien service client malmènes sans rien concret fuiez voleurs
941,fuyez article commandés conforme livraison er commande bottines cuir marron boucle reçu bottine imitation cuir immonde tente ème commande bottes cuir reçu bottes imitation croco horrible si appelez service client répond l erreur humaine tous jours client insatisfaits appellent problème qu il remontent l information tous jours perdent client gagnent aussi donc ça s équilibre
942,viens voir nouvelle vente sonia rykiel plus moins mêmes a deux mois commandé donc époque trench blanc a euro dommage trop juste donc attend nouvelle vente là aujourd hui article a euro quel honte faire cela augmenté autant prix sais pourquoi ailleurs vraiment sérieux belle arnaque quand
943,site éviter malhonnêtes incompétents a avis commandes problèmes annulées leurs soins stock jamais suffisant toujours payé client mauvais article reçus jamais remboursé jamais faute si utilisez bon achat offert occasion fête recevez commande totalité faute retiennent bon achat produit non reçu lorsqu trompent commande reçue baladent service client poste poste parfois raccrocher nez service client lamentable prend jamais geste commercial malgré toutes leurs erreurs temp si encore faire avoir perdre temp battre récupérer dû jamais recevoir commande accord tous derniers mauvais avis car vécus site lamentable lequel plus confiance dont compte bien faire savoir maximum client parlait répression fraudes a tort
944,site éviter car trop commandes annulées livrées très retard
945,scandaleux lendemain d une commande reçois mail comme quoi celle ci annulée sans aucune explication j essaye connecter compte là impossible apparemment identifiant n existe plus service client répond relances n ai jamais vu ça site e commerceedit suite demande contact s agit commande seule différence commandes précédentes j avais utilisé adresse colis expat indiqué comme partenaire
946,fille habitant l étranger a donné site car commande chez a jamais problème j ai trouvé trois pull offrir autre enfants commande oh suprise quand vais chercher coli relais là rendent compte tout comme paquet vide plat comme crèpe ni ni deux novembre appelle là celui j ai semble s apercevoir qu il a souci contacte sais puis revient vers dire qu une fois pochette vide revenue m enverront colis trois pull théoriquement doi recevoir novembre si n ai rien cette date contacte répression fraudes commande cordialement
947,très déçue showroom j ai acheté table basse illustrait table tailles différentes style gigogne prix e quand finalement n en recevoir qu une alors comment dire petite table a aucun intérêt seule malgré mail démontrant photo d illustration vente trompeuse n ont souhaité faire aucun geste je recommande
948,incompetent propose pleins grandes marque plus d un mois livraison puis rajoute jours puis jours a croire livreur vient a pieds poney a pattes hallucinant meme site low cost produits chine plus rapides
949,lorsque essayez renvoyer article envoie plusieurs mail question auxquelles déjà répondu pourquoi quel article arrivé attendre mois retourner article dont livraison complète obtenir remboursement lamentable service client
950,première commande manteau effectuée showroom octobre reçois commande délais prévus donc fois reçue manteau ressemble tout photo site couleur fourrure détail fermeture renvoyé colis depuis statut commande showroom retour demandé envoyé mail lundi novembre savoir où remboursement car vu suivi colis arrivé destination final dit colis cours livraison vers dépôt depuis toujours aucune nouvelle statut compte toujours inchangé semaines aucun avancement aucun changement heureusement commande offrir
951,sinon showroomprive quand demande faire marcher garantie faire fourni facture achat répondez trace facture sous nez prenez client bande escro rien autre
952,commande passé livraison jour donc toujours commande reçu après plusieurs appels relances dit attendre fanfaronnes encaisser rapide vraiment déçus service tous fini plus jamais commande attend fin semaine irais voir avocat million consommateurs
953,complètement malhonnête livre bonne commande renâcle remboursement dernière fois commande chez
954,n est première fois déçue c est trop produits conformes ni couleur ni qualité frais d envoi sans d autres choix le photo casi jamais conformes produits c est inadmissible
955,j ai commandé gourmette or initiale novembre dernier malheureusement calligraphie lettre bracelet différente celle attendue vue photo proposée site de plus gourmette vraiment trés petite sans possibilité réglage je comprends maintenant pourquoi description bijou casi inexistante
956,très mécontente site service après vente j ai commandé a quelques mois vente coupon site internet d impression photo venais donner naissance c était prévision plusieurs mois s est avéré coupon n était valable quelques mois écrit petit quelque part qu aucun mail rappel d expiration a envoyé final retrouve a avoir payé plus rien service client a dit gros comprends tant pi aucune proposition geste commercial vraiment recommande car ca problème cherchent trouver solution j demandé bout échange geste commercial a proposé passer commande e rembourser frais port commande donc autre vente dont besoin rembourser frais port si ça moquer ça
957,assez déçue j ai commandé pull dont description laine mohair a l arrivée pull d acrylique seul pourcent mohair coup bien cher payé pull acrylique première fois déçue certainement dernière
958,erreur part livraison dû rappeler fois avant d obtenir l étiquette préaffranchie essayé persuader garder l article reçu n était ni goût ni taille limite escroquerie
959,honteux abonnement infinity devait prendre fin novembre envoie mail via site reconduire abonnement issu contrat aucune nouvelle part part accusé réception mail semaine après renvoie e mail demande toujours aucune réponse showroom je découvre aujourd hui abonnement infinity a reconduit malgré mail demande résiliation j appelle showroomprive non seulement excuse avoir ignorer demandes plus annonce rembourserait service client annonce dû appeler scandaleux mail preuves matériels outrée attitude près trouve service déplorablement malhonnête a beaucoup site vente ligne beaucoup plus honnêtes showroomprive fuyez madame fuyez fuyez
960,toujours très satisfaite showroomprive com délais livraison toujours respectés service client hyper disponible pendant er confinement j ai averti délai rallongé sans prendre contact sav pris devants tenus engagement n est jamais ca certains leurs concurents comme veepee mi mois livrer machine coudre j avais payé fortune vraiment peux recommandé showroom privé
961,arnaque commandez jamais showroomprivé arnaqueurs première fois commandais chez j ai commandé parure lit comportant housse couette x tay d oreiller évidemment avant mettre lit lave quelle surprise quand j ai voulu mettre couette housse ça rentrait j ai donc mesuré housse c est là aperçue qu en fait m avait envoyé housse couette d une taille x l ai donc retournée j ai envoyé mail expliquer taille housse correspondait taille j avais commandée service client refuse rembourser car l ai lavée renvoie l article sans autre explication non seulement j ai perdu retrouve parure lit peux utiliser j ai appelé service client rien faire c est total refus rembourser tombée imbécile polie a arrêté répéter seule réponse fallait laver j ai beau répéter l erreur venait chez a rien voulu savoir trouve ça inadmissible surtout commandez jamais chez arnaqueurs
962,ca fait mois c est devenu n importe quoi showroom livraison pose pbms article manquant article différent photo lors l achat quand veut restituer l article différent faut payer frais d envoi pire dernière expérience ça fait semaines j ai reçu colis article manquant euro j attends toujours remboursement j ai appelé fois c est toujours meme histoire ça va arriver a retard conseil évitez gros achats remboursé si soucicomme quoi ça fait bouger s exprimer reseau donner avis peine publié enclenchent rbrsement alors ça faisait semaines harcelais tel
963,n avais jusqu présent jamais commandé site j aurais mieux fait m abstenir vente chaussures goby semblaient plutôt sympathiques décide donc d acheter paire n arrivant choisir copain propose m en offrir également déjà tant nouvelle cliente j étais sensée recevoir bon d achat toute première commande devait être crédité directement compte l ai jamais reçu après avoir contacté service client répondent c est uniquement client belgique faux car amie vient tout juste créer compte temp a bien reçu bon d achat activer email habite france utilise aussi site français soit marre battre d attendre car vente va terminer deux achats donc effectués compte second compte copain le deux commandes préparation livrés novembre jusque là tout va bien quelques jours plus tard impossible d accéder compte reçois email m indiquant commande annulée sans véritable raison qu elle remboursée remboursement suivre site auquel n ai plus accès je contacte service client téléphone m indique paiement a effectué carte frauduleuse vente a bloquée raisons ma carte n est frauduleuse compte banque bien alimenté preuve somme s est prélevée sans aucun problème on dit l information remontée recontactée sous jours compte débloqué pour chaussures tant pi malgré fait erreur part vente finie faudra attendre suivante s il a nouveau génial plus deux semaines plus tard compte toujours inaccessible n ai aucun retour concernant disant problème carte frauduleuse puis vient deuxième problème reçois avance paire chaussures commandée via compte compagnon horrible produit a absolument rien voir photo lacets marrons lieu moutarde motif étirés mal appliqué toute chaussure couleur totalement délavée tend vers gris lieu couleurs vives article défectueux contrefaçon aucune idée elles valent absolument tout casser si très regardant je recontacte service client encore fois demande photo preuve proposera solution après réception retour produit remboursement m arrange forcément cette période confinement certains point relais n acceptent retours produits remboursement partiel garde chaussures geste commercial showroom privé la réponse tombée aujourd hui demande renvoyer produit comme dit précédemment choix très compliqué garder d accepter bon d achat utiliser mois bon d achat achat defectueux a obligaiton rachat site malhonnete prochains mois on moque vu commentaires postés ici j ai l angoisse renvoyer paquet qu il perde arrive vide sais quel autre mensonge encore perdre totalité argent
964,commande bottes cuir effectuée modèle mule pailletées reçues deux mail réclamation envoyés téléconseillers ligne aucun geste action sympathique part showroom recommandent seulement retour avoir remboursement très pratique période confinement covid attention a site erreurs commandes arrivent très fréquemment ventes privées veepee plus sûres
965,acheté montre connectée marque ribes orange lorsqu tombée panne renvoyé juillet jour toujours remboursement service client balades malgré nombreux appels excuse bidons éviter avoir rembourser cet article a quand coûté surtout achetez site car voleurs aucun service client mail expliquer fuir
966,a éviter commandé bijou milles éclats disant être originaux authentiques swarovski cependant marque question a site internet tout partenaire swarovski de plus bijou swarovski durée an uniquement reçu étiquette marque durée mois
967,renvoyé article recevant remboursement mois plus tard j ai demandé explication là répond paquet bien parvenu boutique vide personne m en informé m assure avoir remonté réclamation auprès service financier meilleur traitement devait recontacter sous jours courrier date a jour malgré relances n ai obtenu réponse bientôt semaines très déçue grâce dites faire troisième courrier
968,s il possibilite mettre l aurais fait une entreprise gogoles livraison bidon livreurs prennent meme peine deplacer a l adresse livraison deposent tous colis pres depot service client super arrogant rien a faire si commande expédiée a km chez ke client aucune logique aucun profesionalisme de vrais gogoles aussi
969,bonjour dubitative j ai rempli panier article impossible valider commande portable pc plusieurs navigateurs internet différents aperçue vente springfield limité article max quel montant quelque taille manteau chaussettes pouvoir être livrée qu est c est cette règle complètement incompréhensible ah si c est m aider préserver portefeuille c est tout fait honorable bravo j ai finalement pris x article plaisaient plus mets alerte chez veepee prochaine vente springfield car chez a cette limitation
970,prix constatés risibles service client déplorable prestataires livraison encore plus incompétents comment peut on encore être aussi mauvais relation client qualité service réinventer chercher l amélioration continue service cela évitera ridicule
971,j ai passer commande site septembre j ai contacter service client signaler n avais rien reçu octobre tout qu il dise c est investigation réaliser savoir passer colis aujourd hui novembre toujours commande reçu malgré e mail envoyer veulent rembourser a fuire
972,différence prix entre personnes viens apercevoir entre fille regardant vente boot a différence prix souscris infinity donc frais port boot plus fille a infinty quoi cette arnaque sérieux bonne cliente là fini
973,commandé fois mobiliers effet reçu fois mobiliers défectueux médiocre qualité je fais suite réclamation auprès sav a dédommagé forme bon achat valeur prix
974,acheter produits meme a tailles différentes ensuite renvoyer celui va fille bon retour payant poste donne aucun justificatif retour genre colis juste scane show room dit avoir reçu colis demande preuve retour existe savent donc voler plus manteau site éviter pense vont tarder changer nom petit agneau allons racheter chez pfffff
975,service client déplorable conseillers inutiles n écoute client article reçu défectueux immettable e fait e bon achat honte jamais tombé service client aussi lamentable je recommende pasje précise j ai déjà fois personnes différentes service client m ont répondu chose continuer dire recontacter quel but puisque déjà dis geste commercial e convient tout
976,commander chez j ai fait erreur manipulation commandant chaussures mauvaise pointure impossible d annuler commande ligne appelant c est impossible aussi d annuler commande passée l instant demandant retour m indique qu il charge site écrit annulation retour possible quand questionne cela n est applicable toutes ventes service client désastreux expérience déplorable
977,tout simplement voleurs site malhonnete commande d une parure drap housse tay d une valeur bout mois enfin livrée déja bon point relais surtout a km chez bref n est soucis reçois donc enfin cette parure manque tay valeur unitaire taie lors vente contacte service client dit retourner commande impossible car forcément deballée toute façon veux reperdre jours reception jours remboursement sais quel délai ensuite ravoir autre alors bon d achat s excuser manquement d une valeur a commande donc restants gardez bien chaud poche dit veux bon veux bon pouvoir commander tay lors prochaine vente consentent a faire seul bon d achat donc encore gardent argent depensé rien l erreur vient d eux si veux avoir tay va falloir repayer exorbitants frais port mois minimum livraison n ai jamais vu autant mauvaise foi part d un site internet j ai mi étoile car peut mettre moins cette étoile déjà trop persiste a dire showroom bande voleurs d escrocs
978,bonjourj ai commandé tableau commande toujours préparation depuis jours site éviter
979,colis a déposé jour avant confinement point relais colis point relais colis fermé désormais ouvert après déconfinement date vraiment inconnue compte tenu situation showroom privé refuse faire droit demande remboursement sous prétexte faut attendre retour colis entrepôt point relais fermé cause confinement donc demande comment colis peut retourner entrepôt donc showroom privé a encaissé commande impossibilité livrer colis si vol
980,comme deux autres personnes toujours attente aspirateur dyson v reste cours préparation depuis alors qu il devait être livre plus tard
981,commandé montre suisse lieu soi disant certificat authenticité base cadeau noel donc toujours emballé boîte là prenant montre rend compte celle ci belle copie suite vais sûre forum dise chose bel arnaque appelé showroom forcément mec dit délai jours passé ect commence a dire voleurs montre fausse là mec répond autres question mec a essayé justifier car arnaqueurs vais rester là faire nécessaire être remboursée car rien déconseille fortement
982,demande remboursement paire lunette rien e mail e mail disent transfert argent a échoué donner autre compte bancaire aujourd hui abpas rien reçu rien est à dire répondre vais faire plainte contre cette semaine nr commande
983,j ai acheté écouteurs ceux ci fonctionnaient bat depuis septembre obtenir remboursement sans compter nombreux appels mail font perdre temp n est première fois rencontre tels problèmes téléphone mauvaise qualité très déçue plus jamais showroom
984,bonjour j ai rencontré problème qu un commentaires j ai commandé l aspirateur dyson v semaine dernière devait être livré octobre domicile n ai rien reçu j ai contacté service client dit qu il a problème logistique transporteur a reçu commande très mécontente cela manque totalement professionnalisme quand li qu une autre personne situation dis c est total manque respect client j ai contacté jour service client rallonge délais livraison j si n est plus confinement a bon do très insatisfaite
985,a fuir devez recevoir commande jours recu mois apres apparemment suivi absolument rien reçu veulent rembourser service client aimable ne claquer argent chez
986,service clientèle incompréhensible j ai bon d achat termine surprise h m ont enlevé bon alors comptais faire achat dernier jour sauf erreur part peut toujours utiliser bon d achat jusqu fin journée validité savais politique vente différent tous autres très mécontente
